fileloc,value
vehicle-data/2wheelers/2807.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2203.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2633.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/742.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2248.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/649.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2425.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/1034.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/124.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2686.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/750.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2646.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/1886.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/640.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2255.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/625.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/219.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2496.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2393.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/614.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/857.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/619.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/367.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2327.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2705.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/118.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2574.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2546.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/598.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/578.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/1689.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/603.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/103.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/595.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2357.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2575.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2771.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2796.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/1212.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2471.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2888.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2720.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/1157.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2850.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2863.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2900.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/1190.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2205.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/384.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/699.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/2695.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/508.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/293.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/1800.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/23.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/258.jpg,"[0, 1, 0]"
vehicle-data/2wheelers/909.jpg,"[0, 1, 0]"
